Symptom,weight
దురద, 1
చర్మం_దద్దుర్లు,3
నోడల్_స్కిన్_ఎరప్షన్స్,4
నిరంతర_తుమ్ములు,4
వణుకు,5
చలి, 3
కీళ్ల_నొప్పి,3
కడుపు_నొప్పి, 5
ఆమ్లత్వం, 3
నాలుకపై_పూత,4
కండరము_వ్యర్ధము,3
వాంతులు, 5
బర్నింగ్_మిక్చురిషన్,6
చుక్కల_మూత్రవిసర్జన, 6
అలసట, 4
బరువు_పెరుగుదల,3
ఆందోళన, 4
చల్లని_చేతులు_కాళ్లు,5
మూడ్_స్వింగ్స్,3
బరువు_తగ్గడం,3
చంచలత్వం, 5
బద్ధకం,2
గొంతులో_పాచెస్,6
అక్రమమైన_షుగర్_స్థాయి,5
దగ్గు, 4
అధిక_జ్వరం,7
మునిగిపోయిన_కళ్ళు,3
ఊపిరి ఆడకపోవడం, 4
చెమటలు పట్టడం, 3
నిర్జలీకరణము, 4
అజీర్ణం, 5
తలనొప్పి, 3
పసుపురంగు_చర్మం,3
ముదురు_మూత్రం, 4
వికారం, 5
ఆకలి_తొలగడం,4
కళ్ల వెనుక_నొప్పి,4
వెన్నునొప్పి, 3
మలబద్ధకం, 3
కడుపు_నొప్పి,4
అతిసారం, 6
తేలికపాటి_జ్వరం,5
పసుపు_మూత్రం, 4
కళ్లకు_పసుపు,4
తీవ్రమైన_కాలేయం_వైఫల్యం,6
ద్రవం_ఓవర్‌లోడ్, 6
కడుపు_ వాపు, 7
ఉబ్బిన_శోషరస కణుపులు, 6
అనారోగ్యం, 6
అస్పష్టమైన_మరియు_వక్రీకరించిన_దృష్టి,5
కఫం, 5
గొంతు_చికాకు,4
కళ్ళు_ఎరుపు,5
సైనస్_పీడనం,4
ముక్కు కారటం, 4
రద్దీ, 4
ఛాతీ_నొప్పి,7
అవయవాలలో_బలహీనత,7
వేగవంతమైన_హృదయ స్పందన, 5
ప్రేగు కదలికల_సమయంలో_నొప్పి,5
ఆసన_ప్రాంతంలో_నొప్పి,6
రక్తపు_మలం,5
పాయువులో_చికాకు,5
మెడ_నొప్పి, 5
తల తిరగడం, 4
తిమ్మిరి, 4
గాయాలు, 4
ఊబకాయం, 3
ఉబ్బిన_కాళ్లు,5
ఉబ్బిన_రక్తనాళాలు,5
ఉబ్బిన_ముఖం_మరియు_కళ్ళు,4
విస్తరించిన_థైరాయిడ్,6
పెళుసుగా ఉండే_గోళ్లు,4
ఉబ్బిన_అంతరాలు,5
అధిక_ఆకలి,4
వివాహేతర_పరిచయాలు,5
పెదవులు ఎండబెట్టడం మరియు జలదరించడం, 4
అస్పష్టమైన_ప్రసంగం,4
మోకాలి_నొప్పి,3
తుంటి_కీళ్ల_నొప్పి,2
కండరాల_బలహీనత,2
గట్టి_మెడ,4
వాపు_కీళ్లు,5
కదలిక_ దృఢత్వం, 5
స్పిన్నింగ్_కదలికలు,6
సంతులనం_తొలగడం,4
అస్థిరత, 4
ఒక_శరీరం_వైపు_బలహీనత,4
వాసన_ కోల్పోవడం, 3
మూత్రాశయం_అసౌకర్యం,4
మూత్రం_దుర్వాసన,5
మూత్రం యొక్క_నిరంతర_అనుభూతి,6
వాయువుల_మార్గం,5
అంతర్గత_దురద, 4
టాక్సిక్_లుక్_(టైఫాస్),5
నిరాశ, 3
చిరాకు, 2
కండరాల_నొప్పి,2
మార్చబడిన_సెన్సోరియం,2
శరీరంపై_ఎరుపు_మచ్చలు,3
కడుపు_నొప్పి,4
అసాధారణ_ఋతుస్రావం, 6
డిస్క్రోమిక్_ప్యాచెస్,6
కళ్ల నుండి_నీళ్ళు,4
పెరిగిన_ఆకలి,5
పాలీయూరియా,4
కుటుంబం_చరిత్ర,5
మ్యూకోయిడ్_కఫం,4
తుప్పుపట్టిన_కఫం,4
ఏకాగ్రత_లోపం,3
దృశ్య_అవాంతరాలు,3
స్వీకరించడం_రక్తం_మార్పిడి,5
స్టెరైల్_ఇంజెక్షన్లు స్వీకరించడం,2
కోమా,7
కడుపు_రక్తస్రావం, 6
పొత్తికడుపు_విచ్ఛిన్నం,4
చరిత్ర_ఆల్కహాల్_వినియోగం,5
ద్రవం_ఓవర్‌లోడ్,4
కఫంలో_రక్తం,5
దూడపై_ప్రముఖ_సిరలు,6
దడ, 4
బాధాకరమైన_నడక, 2
చీము_నిండిన_మొటిమలు,2
బ్లాక్ హెడ్స్, 2
స్కర్రింగ్,2
చర్మం_పొట్టు, 3
వెండి_వంటి_దుమ్ము దులపడం,2
గోళ్లలో_చిన్న_డెంట్లు,2
తాపజనక_గోర్లు,2
పొక్కు, 4
ముక్కు చుట్టూ_ఎరుపు_పుండ్లు,2
పసుపు_క్రస్ట్_ఊజ్,3
రోగ నిరూపణ, 0
