disease,description
दवा की प्रतिक्रिया, एक प्रतिकूल दवा प्रतिक्रिया (एडीआर) दवा लेने के कारण होने वाली चोट है। एडीआर किसी दवा की एक खुराक या लंबे समय तक सेवन के बाद या दो या दो से अधिक दवाओं के संयोजन के परिणामस्वरूप हो सकता है।
मलेरिया, प्लास्मोडियम परिवार के प्रोटोजोआ परजीवियों के कारण होने वाला एक संक्रामक रोग है जो एनोफिलिस मच्छर के काटने या दूषित सुई या ट्रांसफ्यूजन से फैल सकता है। फाल्सीपेरम मलेरिया सबसे घातक प्रकार है।
एलर्जी,"एलर्जी एक विदेशी पदार्थ के प्रति प्रतिरक्षा प्रणाली की प्रतिक्रिया है जो आम तौर पर आपके शरीर के लिए हानिकारक नहीं होती है। इनमें कुछ खाद्य पदार्थ, परागकण, या पालतू जानवरों की रूसी शामिल हो सकती है। आपकी प्रतिरक्षा प्रणाली का काम हानिकारक रोगजनकों से लड़कर आपको स्वस्थ रखना है।"
हाइपोथायरायडिज्म, "हाइपोथायरायडिज्म, जिसे अंडरएक्टिव थायराइड या कम थायराइड भी कहा जाता है, अंतःस्रावी तंत्र का एक विकार है जिसमें थायरॉयड ग्रंथि पर्याप्त थायराइड हार्मोन का उत्पादन नहीं करती है।"
सोरायसिस, "सोरायसिस एक आम त्वचा विकार है जो मोटे, लाल, ऊबड़-खाबड़ धब्बों का निर्माण करता है जो चांदी जैसी पपड़ियों से ढके होते हैं। वे कहीं भी उभर सकते हैं, लेकिन ज्यादातर खोपड़ी, कोहनी, घुटनों और पीठ के निचले हिस्से पर दिखाई देते हैं। सोरायसिस से फैलना संभव नहीं है यह कभी-कभी एक ही परिवार के सदस्यों में होता है।"
जीईआरडी, "गैस्ट्रोएसोफेगल रिफ्लक्स रोग, या जीईआरडी, एक पाचन विकार है जो निचले एसोफेजियल स्फिंक्टर (एलईएस), ग्रासनली और पेट के बीच की मांसपेशियों की अंगूठी को प्रभावित करता है। गर्भवती महिलाओं सहित कई लोग, जीईआरडी के कारण होने वाले सीने में जलन या एसिड अपच से पीड़ित होते हैं। ।"
क्रोनिक कोलेस्टेसिस, "क्रोनिक कोलेस्टेटिक रोग, चाहे वे शैशवावस्था, बचपन या वयस्कता में होते हों, यकृत से आंत तक दोषपूर्ण पित्त एसिड परिवहन की विशेषता रखते हैं, जो ज्यादातर मामलों में पित्त उपकला को प्राथमिक क्षति के कारण होता है"
हेपेटाइटिस ए, हेपेटाइटिस ए एक अत्यधिक संक्रामक यकृत संक्रमण है जो हेपेटाइटिस ए वायरस के कारण होता है। यह वायरस कई प्रकार के हेपेटाइटिस वायरस में से एक है जो सूजन का कारण बनता है और आपके लीवर की कार्य करने की क्षमता को प्रभावित करता है।
ऑस्टियोआर्थराइटिस, "ऑस्टियोआर्थराइटिस गठिया का सबसे आम रूप है, जो दुनिया भर में लाखों लोगों को प्रभावित करता है। यह तब होता है जब आपकी हड्डियों के सिरों को सहारा देने वाली सुरक्षात्मक उपास्थि समय के साथ खराब हो जाती है।"
(वर्टिगो) पैरोयम्सल पोजिशनल वर्टिगो, बेनाइन पैरॉक्सिस्मल पोजिशनल वर्टिगो (बीपीपीवी) वर्टिगो के सबसे आम कारणों में से एक है - अचानक महसूस होना कि आप घूम रहे हैं या आपके सिर के अंदर का हिस्सा घूम रहा है। सौम्य पैरॉक्सिस्मल पोजिशनल वर्टिगो के कारण हल्के से तीव्र चक्कर के संक्षिप्त एपिसोड होते हैं।
