disease,description
డ్రగ్ రియాక్షన్, ప్రతికూల ఔషధ ప్రతిచర్య (ADR) అనేది మందులు తీసుకోవడం వల్ల కలిగే గాయం. ADRలు ఒక ఔషధం యొక్క ఒక మోతాదు లేదా సుదీర్ఘమైన పరిపాలన తర్వాత సంభవించవచ్చు లేదా రెండు లేదా అంతకంటే ఎక్కువ ఔషధాల కలయిక వలన సంభవించవచ్చు.
మలేరియా, ప్లాస్మోడియం కుటుంబానికి చెందిన ప్రోటోజోవాన్ పరాన్నజీవుల వల్ల కలిగే అంటు వ్యాధి, ఇది అనాఫిలిస్ దోమ కాటు లేదా కలుషితమైన సూది లేదా రక్తమార్పిడి ద్వారా వ్యాపిస్తుంది. ఫాల్సిపరమ్ మలేరియా అత్యంత ప్రాణాంతక రకం.
అలెర్జీ,"అలెర్జీ అనేది మీ శరీరానికి సాధారణంగా హాని చేయని విదేశీ పదార్ధానికి రోగనిరోధక వ్యవస్థ ప్రతిస్పందన. వాటిలో కొన్ని ఆహారాలు, పుప్పొడి లేదా పెంపుడు చుండ్రు ఉంటాయి. హానికరమైన వ్యాధికారక క్రిములతో పోరాడటం ద్వారా మిమ్మల్ని ఆరోగ్యంగా ఉంచడమే మీ రోగనిరోధక వ్యవస్థ యొక్క పని."
హైపోథైరాయిడిజం,"హైపోథైరాయిడిజం, దీనిని అండర్యాక్టివ్ థైరాయిడ్ లేదా తక్కువ థైరాయిడ్ అని కూడా పిలుస్తారు, ఇది ఎండోక్రైన్ వ్యవస్థ యొక్క రుగ్మత, దీనిలో థైరాయిడ్ గ్రంధి తగినంత థైరాయిడ్ హార్మోన్‌ను ఉత్పత్తి చేయదు."
సోరియాసిస్,"సోరియాసిస్ అనేది ఒక సాధారణ చర్మ రుగ్మత, ఇది వెండి పొలుసులతో కప్పబడిన మందపాటి, ఎరుపు, ఎగుడుదిగుడు పాచెస్‌ను ఏర్పరుస్తుంది. అవి ఎక్కడైనా పాప్ అప్ అవుతాయి, కానీ చాలా వరకు నెత్తిమీద, మోచేతులు, మోకాలు మరియు దిగువ వీపుపై కనిపిస్తాయి. సోరియాసిస్ నుండి బయటకు వెళ్లలేము. ఇది కొన్నిసార్లు ఒకే కుటుంబ సభ్యులలో జరుగుతుంది."
GERD,"గ్యాస్ట్రోఎసోఫాగియల్ రిఫ్లక్స్ వ్యాధి, లేదా GERD, అన్నవాహిక మరియు కడుపు మధ్య కండరాల వలయమైన దిగువ అన్నవాహిక స్పింక్టర్ (LES)ని ప్రభావితం చేసే జీర్ణ రుగ్మత. గర్భిణీ స్త్రీలతో సహా చాలా మంది వ్యక్తులు GERD వల్ల గుండెల్లో మంట లేదా యాసిడ్ అజీర్ణంతో బాధపడుతున్నారు. ."
దీర్ఘకాలిక కొలెస్టాసిస్,"శిశువయస్సులో, బాల్యంలో లేదా యుక్తవయస్సులో సంభవించే దీర్ఘకాలిక కొలెస్టాటిక్ వ్యాధులు, కాలేయం నుండి ప్రేగులకు లోపభూయిష్ట పిత్త ఆమ్లం రవాణా చేయడం ద్వారా వర్గీకరించబడతాయి, ఇది చాలా సందర్భాలలో పిత్త ఎపిథీలియంకు ప్రాధమిక నష్టం వల్ల వస్తుంది"
హెపటైటిస్ A, హెపటైటిస్ A అనేది హెపటైటిస్ A వైరస్ వల్ల కలిగే అత్యంత అంటువ్యాధి కాలేయ వ్యాధి. ఇన్ఫ్లమేషన్ కలిగించే మరియు మీ కాలేయ పనితీరును ప్రభావితం చేసే అనేక రకాల హెపటైటిస్ వైరస్‌లలో వైరస్ ఒకటి.
ఆస్టియో ఆర్థరైటిస్, "ఆస్టియో ఆర్థరైటిస్ అనేది ఆర్థరైటిస్ యొక్క అత్యంత సాధారణ రూపం, ఇది ప్రపంచవ్యాప్తంగా మిలియన్ల మంది ప్రజలను ప్రభావితం చేస్తుంది. మీ ఎముకల చివరలను పరిపుష్టం చేసే రక్షిత మృదులాస్థి కాలక్రమేణా క్షీణించినప్పుడు ఇది సంభవిస్తుంది."
(వెర్టిగో) Paroymsal పొజిషనల్ వెర్టిగో, నిరపాయమైన paroxysmal పొజిషనల్ వెర్టిగో (BPPV) వెర్టిగో యొక్క అత్యంత సాధారణ కారణాలలో ఒకటి — మీరు తిరుగుతున్నట్లు లేదా మీ తల లోపలి భాగం తిరుగుతున్నట్లు ఆకస్మిక అనుభూతి. నిరపాయమైన పరోక్సిస్మల్ పొజిషనల్ వెర్టిగో తేలికపాటి నుండి తీవ్రమైన మైకము యొక్క సంక్షిప్త ఎపిసోడ్‌లకు కారణమవుతుంది.
