Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
दवा का रिएक्शन, जलन रोकें, नजदीकी अस्पताल से परामर्श लें, दवा लेना बंद करें, अनुवर्ती कार्रवाई करें
मलेरिया, नजदीकी अस्पताल से परामर्श लें, तैलीय भोजन से बचें, मांसाहारी भोजन से बचें, मच्छरों को दूर रखें
एलर्जी, कैलामाइन लगाएं, पट्टी से क्षेत्र को ढकें, खुजली को दबाने के लिए बर्फ का उपयोग करें
हाइपोथायरायडिज्म, तनाव कम करें, व्यायाम करें, स्वस्थ भोजन करें, उचित नींद लें
सोरायसिस, गर्म साबुन के पानी से हाथ धोएं, दबाव डालकर रक्तस्राव रोकें, डॉक्टर से परामर्श लें, नमक से स्नान करें
जीईआरडी, वसायुक्त मसालेदार भोजन से बचें, खाने के बाद लेटने से बचें, स्वस्थ वजन बनाए रखें, व्यायाम करें
क्रोनिक कोलेस्टेसिस, ठंडे स्नान, खुजली रोधी दवा, डॉक्टर से परामर्श लें, स्वस्थ भोजन करें
हेपेटाइटिस ए, नजदीकी अस्पताल से परामर्श लें, हाथ धोएं, वसायुक्त मसालेदार भोजन, दवा से बचें
ऑस्टियोआर्थराइटिस, एसिटामिनोफेन, नजदीकी अस्पताल से परामर्श लें, अनुवर्ती कार्रवाई करें, नमक स्नान
(वर्टिगो) पैरोयम्सल पोजिशनल वर्टिगो, लेट जाएं, शरीर में अचानक बदलाव से बचें, अचानक सिर हिलाने से बचें, आराम करें
हाइपोग्लाइसीमिया, करवट लेकर लेटें, नाड़ी जांचें, मीठा पेय पिएं, डॉक्टर से सलाह लें
मुँहासा, दो बार स्नान करें, वसायुक्त मसालेदार भोजन से बचें, खूब पानी पियें, बहुत सारे उत्पादों से बचें
मधुमेह, संतुलित आहार लें, व्यायाम करें, डॉक्टर से सलाह लें, फॉलो करें
इम्पीटिगो, प्रभावित क्षेत्र को गर्म पानी में भिगोएँ, एंटीबायोटिक दवाओं का उपयोग करें, गीले संपीड़ित कपड़े से पपड़ी हटाएँ, डॉक्टर से परामर्श लें
उच्च रक्तचाप, ध्यान, नमक स्नान, तनाव कम करें, उचित नींद लें
पेप्टिक अल्सर रोग, वसायुक्त मसालेदार भोजन से बचें, प्रोबायोटिक भोजन का सेवन करें, दूध को खत्म करें, शराब को सीमित करें
डिमॉर्फिक बवासीर (बवासीर), वसायुक्त मसालेदार भोजन से बचें, विच हेज़ल का सेवन करें, एप्सम नमक के साथ गर्म स्नान करें, एलोवेरा जूस का सेवन करें
सामान्य सर्दी, विटामिन सी युक्त पेय पिएं, वाष्प लें, ठंडे भोजन से बचें, बुखार को नियंत्रित रखें
चिकन पॉक्स, नहाने में नीम का उपयोग करें, नीम की पत्तियों का सेवन करें, टीका लें, सार्वजनिक स्थानों से बचें
सर्वाइकल स्पोंडिलोसिस, हीटिंग पैड या कोल्ड पैक का उपयोग करें, व्यायाम करें, ओटीसी दर्द निवारक दवा लें, डॉक्टर से परामर्श लें
