Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
డ్రగ్ రియాక్షన్, చికాకును ఆపండి, సమీపంలోని ఆసుపత్రిని సంప్రదించండి, డ్రగ్ తీసుకోవడం ఆపండి, ఫాలో అప్ చేయండి
మలేరియా, దగ్గరలోని ఆసుపత్రిని సంప్రదించండి, ఆయిల్ ఫుడ్ మానుకోండి, నాన్ వెజ్ ఫుడ్ మానుకోండి, దోమలు రాకుండా చూసుకోండి
అలెర్జీ, కాలమైన్‌ని పూయండి, ప్రాంతాన్ని కట్టుతో కప్పండి, దురదను కుదించడానికి మంచును ఉపయోగించండి
హైపోథైరాయిడిజం, ఒత్తిడిని తగ్గించండి, వ్యాయామం చేయండి, ఆరోగ్యంగా తినండి, సరైన నిద్ర పొందండి
సోరియాసిస్, వెచ్చని సబ్బు నీటితో చేతులు కడుక్కోండి, ఒత్తిడిని ఉపయోగించి రక్తస్రావం ఆపండి, వైద్యుడిని సంప్రదించండి, ఉప్పు స్నానాలు
GERD, కొవ్వు కారపు ఆహారాన్ని నివారించండి, తిన్న తర్వాత పడుకోవడం మానుకోండి, ఆరోగ్యకరమైన బరువును నిర్వహించండి, వ్యాయామం చేయండి
దీర్ఘకాలిక కొలెస్టాసిస్, చల్లని స్నానాలు, దురద నివారణ ఔషధం, వైద్యుడిని సంప్రదించండి, ఆరోగ్యంగా తినండి
హెపటైటిస్ A, సమీపంలోని ఆసుపత్రిని సంప్రదించండి, చేతులు కడుక్కోండి, కొవ్వు కారపు ఆహారం, మందులకు దూరంగా ఉండండి
ఆస్టియో ఆర్థరైటిస్, ఎసిటమైనోఫెన్, సమీప ఆసుపత్రిని సంప్రదించండి, ఫాలో అప్, ఉప్పు స్నానాలు
(వెర్టిగో) పరోయిమ్సల్ పొజిషనల్ వెర్టిగో, పడుకోవడం, శరీరంలో ఆకస్మిక మార్పులను నివారించడం, ఆకస్మిక తల కదలికను నివారించడం, విశ్రాంతి తీసుకోవడం
హైపోగ్లైసీమియా, పక్కకు పడుకుని, పల్స్ తనిఖీ చేయండి, చక్కెర పానీయాలు త్రాగండి, వైద్యుడిని సంప్రదించండి
మొటిమలు, రెండుసార్లు స్నానం చేయడం, కొవ్వు కారపు ఆహారాన్ని నివారించడం, నీరు పుష్కలంగా త్రాగడం, చాలా ఉత్పత్తులను నివారించడం
మధుమేహం, సమతుల్య ఆహారం, వ్యాయామం, వైద్యుడిని సంప్రదించండి, అనుసరించండి
ఇంపెటిగో, ప్రభావిత ప్రాంతాన్ని గోరువెచ్చని నీటిలో నానబెట్టండి, యాంటీబయాటిక్స్ వాడండి, తడిగా కుదించిన గుడ్డతో స్కాబ్‌లను తొలగించండి, వైద్యుడిని సంప్రదించండి
అధిక రక్తపోటు, ధ్యానం, ఉప్పు స్నానాలు, ఒత్తిడిని తగ్గించడం, సరైన నిద్ర పొందడం
పెప్టిక్ అల్సర్ వ్యాధి, కొవ్వు మసాలా ఆహారాన్ని నివారించండి, ప్రోబయోటిక్ ఆహారాన్ని తీసుకోండి, పాలను తొలగించండి, ఆల్కహాల్ పరిమితం చేయండి
డైమోర్ఫిక్ హెమోర్‌హాయిడ్‌లు(పైల్స్), ఫ్యాటీ స్పైసీ ఫుడ్‌ను నివారించండి, మంత్రగత్తె హాజెల్ తినండి, ఎప్సమ్ సాల్ట్‌తో వెచ్చని స్నానం చేయండి, అలోవెరా జ్యూస్ తీసుకోండి
సాధారణ జలుబు, విటమిన్ సి అధికంగా ఉండే పానీయాలు త్రాగండి, ఆవిరిని తీసుకోండి, చల్లని ఆహారాన్ని నివారించండి, జ్వరాన్ని అదుపులో ఉంచండి
చికెన్ పాక్స్, స్నానంలో వేపను వాడండి, వేప ఆకులను తినండి, వ్యాక్సిన్ తీసుకోండి, బహిరంగ ప్రదేశాలకు దూరంగా ఉండండి
సర్వైకల్ స్పాండిలోసిస్, హీటింగ్ ప్యాడ్ లేదా కోల్డ్ ప్యాక్ ఉపయోగించండి, వ్యాయామం, ఓటీసీ పెయిన్ రిలివర్ తీసుకోండి, డాక్టర్‌ని సంప్రదించండి
